ID,V_UID,Vendor,Tracer_Family,Tracer_Model,Tracer_Cat_No,Voltage,Zone,Gas_Group,T_Rating,A_Coeff,B_Coeff,C_Coeff,Maint_T,Max_Op_T,Min_Installation_T,Max_Exp_T_On,Max_Exp_T_Off,Power_at_Startup_T,Ohm_per_km,Res_corrFactor_Mica
467,Krus-Zapad^MA^CK-MI-1M.A/130,Krus-Zapad,MI,MA,CK-MI-1M.A/130,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.007286667,111.0546667,250,250,-50,700,700,0,130,1.2
468,Krus-Zapad^MA^CK-MI-1M.A/98,Krus-Zapad,MI,MA,CK-MI-1M.A/98,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.007840952,82.63173333,250,250,-50,700,700,0,98,1.2
469,Krus-Zapad^MA^CK-MI-1M.A/66,Krus-Zapad,MI,MA,CK-MI-1M.A/66,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.008395238,54.91828571,250,250,-50,700,700,0,66,1.2
470,Krus-Zapad^MA^CK-MI-1M.A/63,Krus-Zapad,MI,MA,CK-MI-1M.A/63,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.008949524,51.7236,250,250,-50,700,700,0,63,1.2
471,Krus-Zapad^MA^CK-MI-1M.A/33,Krus-Zapad,MI,MA,CK-MI-1M.A/33,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00950381,26.72748571,250,250,-50,700,700,0,33,1.2
472,Krus-Zapad^MA^CK-MI-1M.A/25,Krus-Zapad,MI,MA,CK-MI-1M.A/25,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.010058095,19.97095238,250,250,-50,700,700,0,25,1.2
473,Krus-Zapad^MA^CK-MI-1M.A/21,Krus-Zapad,MI,MA,CK-MI-1M.A/21,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.010612381,16.5428,250,250,-50,700,700,0,21,1.2
474,Krus-Zapad^MA^CK-MI-1M.A/17,Krus-Zapad,MI,MA,CK-MI-1M.A/17,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.011166667,13.20333333,250,250,-50,700,700,0,17,1.2
475,Krus-Zapad^MA^CK-MI-1M.A/13,Krus-Zapad,MI,MA,CK-MI-1M.A/13,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.011720952,9.952552381,250,250,-50,700,700,0,13,1.2
476,Krus-Zapad^MA^CK-MI-1M.A/11,Krus-Zapad,MI,MA,CK-MI-1M.A/11,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.012275238,8.299447619,250,250,-50,700,700,0,11,1.2
477,Krus-Zapad^MA^CK-MI-1M.A/8,Krus-Zapad,MI,MA,CK-MI-1M.A/8,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.012829524,5.94727619,250,250,-50,700,700,0,8,1.2
478,Krus-Zapad^MA^CK-MI-1M.A/7,Krus-Zapad,MI,MA,CK-MI-1M.A/7,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.01338381,5.126266667,250,250,-50,700,700,0,7,1.2
479,Krus-Zapad^MA^CK-MI-1M.A/5,Krus-Zapad,MI,MA,CK-MI-1M.A/5,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.013938095,3.606190476,250,250,-50,700,700,0,5,1.2
480,Krus-Zapad^MN^CK-MI-1M.N/1600,Krus-Zapad,MI,MN,CK-MI-1M.N/1600,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00009,1597.12,250,250,-50,400,400,0,1600,1.2
481,Krus-Zapad^MN^CK-MI-1M.N/1000,Krus-Zapad,MI,MN,CK-MI-1M.N/1000,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00009,998.2,250,250,-50,400,400,0,1000,1.2
482,Krus-Zapad^MN^CK-MI-1M.N/630,Krus-Zapad,MI,MN,CK-MI-1M.N/630,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00009,628.866,250,250,-50,400,400,0,630,1.2
